;Name;Stars;From_Centre;From_Beach;Reviews;Rating;Comfort;Img;Price
24;Apartamentos Buenos Aires By Mc;;2.3;0.35;1103.0;8.4;8.3;"https://cf.bstatic.com/xdata/images/hotel/square600/38556679.jpg?k=6db118389e9c7cc2a7629417a970dc06377432a61ab10b726495d4afda3eee1a&amp;o=";1953.0
25;Gemelos 26 16A;;1.8;0.4;43.0;8.9;9.0;"https://cf.bstatic.com/xdata/images/hotel/square600/152875994.jpg?k=62bc07f0d8b4e5418c7e919c453415584ef3eb5ad8440025d87a8bd68e79fe1e&amp;o=";2369.0
26;Apartment Carmentxu Gemelos 26;;1.8;;24.0;8.7;8.5;"https://cf.bstatic.com/xdata/images/hotel/square600/44419592.jpg?k=8bee3f4a9735c3ccacd058ba630037bc62e2b549302d0cfa5498c3208d6696df&amp;o=";2290.0
27;LOS CABALLOS PREMIUM Levante Beach;;1.3;;66.0;9.4;9.3;"https://cf.bstatic.com/xdata/images/hotel/square600/205539696.jpg?k=9b65c16ce3ad517edf7552ea682a72f75454c7d886378564bd2a9cfb2ab5feb6&amp;o=";3063.0
28;FANTÁSTICO ÁTICO con ENORME TERRAZA y CHILL OUT;;2.8;0.45;11.0;9.5;9.1;"https://cf.bstatic.com/xdata/images/hotel/square600/239376173.jpg?k=6afbdc857de8af54ed9418656a848ce414d18cd0be13812ca63482092013c2ee&amp;o=";3191.0
29;Apartamentos Queens By Mc;;0.2;0.1;294.0;8.3;8.1;"https://cf.bstatic.com/xdata/images/hotel/square600/92452585.jpg?k=39576569a099c6febd5542053e966e35ef640d3b86bd64abdc9826636636fb39&amp;o=";1512.0
30;APLUS Apartamentos, Old Town Benidorm;;0.2;0.25;11.0;9.4;9.3;"https://cf.bstatic.com/xdata/images/hotel/square600/120839434.jpg?k=b9df958ca4cbd4115e7e9bc95a49a194707f32f52edba800e300021da9cfb684&amp;o=";5316.0
31;Junto PLAYA, Gemelos 23 con 2 baños Excelente opcion;;1.3;;56.0;9.5;9.5;"https://cf.bstatic.com/xdata/images/hotel/square600/136465722.jpg?k=c3bcd88a1422283fdcd267dc3b603bb368ba425a0fc39dd9180b40dc84b213af&amp;o=";2740.0
32;DUPLEX PUERTO San vicente;;0.1;0.05;21.0;7.7;;"https://cf.bstatic.com/xdata/images/hotel/square600/206458558.jpg?k=1cd97529e77c6718bcc88bb381083009f09683508c647f730e334227253ec7eb&amp;o=";2211.0
33;Apartamento Ibañez;4.0;1.6;;45.0;9.9;9.9;"https://cf.bstatic.com/xdata/images/hotel/square600/114531556.jpg?k=83f4adcc52bf246ba4e7d5c191f39bf9325eeb0a5332997eb4a2d63055b36a80&amp;o=";4080.0
34;La Mamma Mía;4.0;2.0;;68.0;9.9;10.0;"https://cf.bstatic.com/xdata/images/hotel/square600/248181342.jpg?k=df4e834dfdbb3ddc565c6d3b45ead03c6b3893adaccb790b7660172c82e6270b&amp;o=";3840.0
35;Apartamentos Buenos Aires By Mc;;2.3;0.35;1103.0;8.4;8.3;"https://cf.bstatic.com/xdata/images/hotel/square600/38556679.jpg?k=6db118389e9c7cc2a7629417a970dc06377432a61ab10b726495d4afda3eee1a&amp;o=";1953.0
36;Apartment 1 bedroom, 90m Levante Beach;;2.3;;6.0;8.4;;"https://cf.bstatic.com/xdata/images/hotel/square600/134310399.jpg?k=ec89756487136daaf6a0913d3dd7f03353c3bae0232f0a8c7376f90ecb0ad1bc&amp;o=";1290.0
37;Gemelos 2 21-B;;1.4;0.45;30.0;7.9;8.7;"https://cf.bstatic.com/xdata/images/hotel/square600/197876251.jpg?k=40ec87b7336514f1f278abad9df17a2f620e7d5369025a91b47a755d45475e7d&amp;o=";2354.0
38;Trinisol II;;2.3;;24.0;8.5;8.7;"https://cf.bstatic.com/xdata/images/hotel/square600/152873669.jpg?k=75b4b26407e424679a308bf624d9ded706db6bd227ef355f3ae9e76bc9f92b37&amp;o=";2501.0
39;Vacanza Complex;;2.7;0.65;102.0;8.5;8.4;"https://cf.bstatic.com/xdata/images/hotel/square600/113969684.jpg?k=addcce5f70474c3aef4a82e3ad20f01d68708528d59cf93d38f1ac884e0c14d6&amp;o=";2086.0
40;Apartamentos Michel Angelo Benidorm;;0.6;0.55;957.0;8.5;8.4;"https://cf.bstatic.com/xdata/images/hotel/square600/42098152.jpg?k=f38b8162538a11c0822af394aaa1c3ff06ecfcca0173b3f876633d07a29dff2b&amp;o=";1680.0
41;Apartamentos Paraiso 10;;1.6;0.8;74.0;8.6;8.5;"https://cf.bstatic.com/xdata/images/hotel/square600/16280565.jpg?k=2329b5772fd24f2ba45222ebc5bc62869bb7911701e57bf599df8945abeb61c0&amp;o=";1519.0
42;Don Miguel II Apartments;;2.4;;36.0;8.9;8.8;"https://cf.bstatic.com/xdata/images/hotel/square600/193412156.jpg?k=c816728cc1a7d0a37a431b6f3bc9ce10a6e24af938c9cfe32d84d716da5a777f&amp;o=";2276.0
43;Tropic Mar;;2.4;;63.0;8.1;;"https://cf.bstatic.com/xdata/images/hotel/square600/290665586.jpg?k=cc376d271836c081d55bf5c4b63275643640f72d678255a6aaca4f70dd94b6dd&amp;o=";2104.0
44;GEMELOS 26 APARTMENTS - Benidormland;;1.8;0.4;283.0;9.3;9.2;"https://cf.bstatic.com/xdata/images/hotel/square600/126794462.jpg?k=e7aa1654af81bdad26b256deed779c4a0976c1f68767328da2625840b5e541a3&amp;o=";2240.0
45;Torre Lugano Sea Views (Floor 28th);;2.9;0.7;8.0;9.7;10.0;"https://cf.bstatic.com/xdata/images/hotel/square600/222509162.jpg?k=2abb5a004948a71ea655c5d7f5706f1f7df4b65da7d45665e93caafc0ed3c18c&amp;o=";2100.0
46;New Payma Benidorm;;1.7;0.3;31.0;8.5;8.6;"https://cf.bstatic.com/xdata/images/hotel/square600/304212666.jpg?k=7b4505f1d115f4225911fba773690f2fcc75367ef8858dc8dec08b8518f800bc&amp;o=";1950.0
47;LOS RANCHOS PREMIUM Levante Beach;;1.3;;20.0;9.1;8.9;"https://cf.bstatic.com/xdata/images/hotel/square600/279585511.jpg?k=4d1ed85e9ad44cecb5090ab357692149dd2644c85c03b988f6204ffe2bb87f80&amp;o=";2461.0
48;Apartamento Turistico Loyola;;0.2;0.3;22.0;9.6;9.6;"https://cf.bstatic.com/xdata/images/hotel/square600/98784523.jpg?k=35dd7618f798920a1fd4576dec331c640445d83fdb69edaed80db8b42012b59b&amp;o=";2580.0
49;SAN ANGELO Levante beach apartments;;2.3;0.45;23.0;8.1;8.6;"https://cf.bstatic.com/xdata/images/hotel/square600/275185341.jpg?k=d640053fbdbb16187468a87a8ea0e334996c4530014fb6c033918d60da9f4b98&amp;o=";2396.0
50;Vera Cruz - Fincas Benidorm;;1.7;;160.0;7.6;;"https://cf.bstatic.com/xdata/images/hotel/square600/313168865.jpg?k=9726fff2b12e5785cd59088a57fdc6bc6f3089b34473729bcb8158cb3622a4e5&amp;o=";2417.0
51;Magic Cristal Park;3.0;0.4;0.45;1258.0;7.6;;"https://cf.bstatic.com/xdata/images/hotel/square600/269245032.jpg?k=f5ca6aec9a44cac20c961cf85544a504f03bd5c42f6e1a6a3e11475ee09d8c90&amp;o=";2309.0
52;Tropic Mar;;2.4;;63.0;8.1;;"https://cf.bstatic.com/xdata/images/hotel/square600/290665586.jpg?k=cc376d271836c081d55bf5c4b63275643640f72d678255a6aaca4f70dd94b6dd&amp;o=";2104.0
53;Arena y Sol;;1.4;0.15;57.0;8.7;8.5;"https://cf.bstatic.com/xdata/images/hotel/square600/308653741.jpg?k=4bd83a196fc70ce1cac73ceb6e645032a88e09f55099075716d9c605fc79c762&amp;o=";1960.0
54;Apartamentos El Castell;;0.3;0.05;211.0;8.1;;"https://cf.bstatic.com/xdata/images/hotel/square600/84124104.jpg?k=4e84a0849d1a08de0885ad98afd3f1b144f3296a2f48d1a95da85c1c30d618d2&amp;o=";1254.0
55;La Calita;;2.9;0.1;14.0;9.5;9.6;"https://cf.bstatic.com/xdata/images/hotel/square600/136897969.jpg?k=d2ebeab2403ce42bb06b13856e788955decf5eb9f7b69960a4ef79cdbbd3fd75&amp;o=";3500.0
56;Gemelos 20 - Beninter;;1.2;0.45;168.0;8.2;8.2;"https://cf.bstatic.com/xdata/images/hotel/square600/17862258.jpg?k=8a252f4da16000fc56a202d9121a276f69a352673fd55e2170fdaf8de044a6a3&amp;o=";1512.0
57;Now Benidorm;;2.5;0.4;126.0;8.1;;"https://cf.bstatic.com/xdata/images/hotel/square600/216247644.jpg?k=60bd871f261dc157ff0cabce1b00aa0270327fa86376fede76505304c3994b31&amp;o=";1220.0
58;Hotel RH Sol;3.0;0.3;0.05;232.0;8.3;8.0;"https://cf.bstatic.com/xdata/images/hotel/square600/259388453.jpg?k=70ae74c2d8cec1537586df8b0bd2a51191c01f9c942e0058f3d7a2efc6a33270&amp;o=";1865.0
59;Dynastic;4.0;2.3;0.55;637.0;7.2;;"https://cf.bstatic.com/xdata/images/hotel/square600/322577464.jpg?k=8937eafc72aa99b7f636b6f340c066997ff02365b3eebeda65a7e2e01e92bfa2&amp;o=";1691.0
60;apartament bermudas;;2.4;0.45;23.0;8.2;8.0;"https://cf.bstatic.com/xdata/images/hotel/square600/290107843.jpg?k=4ba78a52cd7e8bb08eb90ff1e8bbdf5253e9e6d504843fbf8fbe93534adc26e0&amp;o=";1176.0
61;Ducado of the Sea;;1.8;;120.0;8.5;8.2;"https://cf.bstatic.com/xdata/images/hotel/square600/173080572.jpg?k=42ec7ef55cb3f2f32d1586c588b47cb49e2efaf5c16403b8938dd47e3b867159&amp;o=";1790.0
62;Apartamentos Las Carabelas;;2.3;;414.0;8.0;;"https://cf.bstatic.com/xdata/images/hotel/square600/14044458.jpg?k=1008eee9584ac70bafa21e07128d835a04112a8737d2f0e47cd58eea7f0fc393&amp;o=";1526.0
63;Virginia of the sea;;2.2;;92.0;8.5;8.4;"https://cf.bstatic.com/xdata/images/hotel/square600/172950686.jpg?k=fb032ce561b7d9df2aaa78c080157be9fca10b73b2ebf3b2db246ab7aad3d3c3&amp;o=";1790.0
64;Sunset Drive 2-4;;1.9;0.1;;;;"https://cf.bstatic.com/xdata/images/hotel/square600/321087026.jpg?k=0fd4c9921d210a654e8502375b9a625f40b094b32e62a8f95fc2ce4f40c78874&amp;o=";3807.0
65;Prince Park;3.0;0.8;0.8;2380.0;8.0;8.2;"https://cf.bstatic.com/xdata/images/hotel/square600/320491667.jpg?k=9e40f8f69cc9c7cade116c47503b8d4cb473402c3971b3e6df1d77c15143934c&amp;o=";2415.0
66;SAN ANGELO Levante beach apartments;;2.3;0.45;23.0;8.1;8.6;"https://cf.bstatic.com/xdata/images/hotel/square600/275185341.jpg?k=d640053fbdbb16187468a87a8ea0e334996c4530014fb6c033918d60da9f4b98&amp;o=";2396.0
67;Apartamento AGUA MARINA Levante Beach;;1.6;;38.0;9.4;9.8;"https://cf.bstatic.com/xdata/images/hotel/square600/192019883.jpg?k=27e270175b80062a951bd4d49471ee305635d36734825fefc141b8bf3deea9b2&amp;o=";2525.0
68;Hotel Brasil;3.0;0.4;0.3;819.0;8.4;8.5;"https://cf.bstatic.com/xdata/images/hotel/square600/268658511.jpg?k=9b91e5b6a33a2627548916e2116a0536e3cda959e1273dcbd0cba5913716ef92&amp;o=";14656.0
69;Aparthotel BCL Levante Lux;3.0;2.5;0.55;327.0;8.4;8.7;"https://cf.bstatic.com/xdata/images/hotel/square600/305183372.jpg?k=5766cadd5b14e477e9672c8d0e2b2d7c496dd67c8cfd3e4126e7eb8b7e957068&amp;o=";2666.0
70;Estudios RH Sol;;0.3;0.05;97.0;8.1;;"https://cf.bstatic.com/xdata/images/hotel/square600/259395198.jpg?k=5d4b21f2a0def49174b893c36e00208299e673711ee20947f5ae27049eb8b31e&amp;o=";1756.0
71;aire de pino;;2.8;0.15;6.0;6.7;8.3;"https://cf.bstatic.com/xdata/images/hotel/square600/319349779.jpg?k=0932b8ccd95e64944c5e55d37474cf01cc2f64b112cc508b9335d2ae30f8307a&amp;o=";966000.0
72;Aparthotel BCL Levante Beach;;2.4;0.3;175.0;8.8;9.2;"https://cf.bstatic.com/xdata/images/hotel/square600/134323040.jpg?k=7952ac335e5b464aacfd8a84acacecadf57da00690794ca96b4cc0ddde047188&amp;o=";2025.9999999999998
73;Bermudas 313;;2.4;0.45;32.0;7.7;;"https://cf.bstatic.com/xdata/images/hotel/square600/153404968.jpg?k=c741c0e8aa02b0e0c68a5b9cffa48c06f58885750d36b0efc35f68aa18168d39&amp;o=";1388.0
74;Hotel Alameda;3.0;0.2;;952.0;8.7;8.7;"https://cf.bstatic.com/xdata/images/hotel/square600/268997413.jpg?k=4e15c55db687218e67d69a3864098674ba2e46c9feb061e6b9e45c23af0e522e&amp;o=";1974.0
